Date,Open,High,Low,Close,Adj Close,Volume
2004-03-02,1.888801,1.925527,1.888801,1.909787,1.252812,62566132
2004-03-03,1.915034,1.936021,1.883554,1.883554,1.235604,45892580
2004-03-04,1.866065,1.902792,1.853823,1.899294,1.245929,41482400
2004-03-05,1.906290,1.916783,1.864316,1.869563,1.226426,25893439
2004-03-08,1.867814,1.874810,1.811850,1.815347,1.190861,40539534
2004-03-09,1.815347,1.836334,1.799607,1.808352,1.186272,40850851
2004-03-10,1.815347,1.880056,1.811850,1.878307,1.232162,50463651
2004-03-11,1.885303,1.899294,1.871312,1.887052,1.237899,54818373
2004-03-12,1.888801,1.897545,1.846827,1.853823,1.216100,44071860
2004-03-15,1.853823,1.939519,1.853823,1.932523,1.267727,82536124
2004-03-16,1.934272,1.946514,1.913285,1.937770,1.271169,72225910
2004-03-17,1.941268,1.960505,1.922030,1.953510,1.281495,74577894
2004-03-18,1.962254,1.976245,1.908039,1.913285,1.255107,76060405
2004-03-19,1.913285,1.934272,1.906290,1.923779,1.261991,68856408
2004-03-22,1.934272,1.983241,1.923779,1.981492,1.299851,87978072
2004-03-23,1.981492,1.981492,1.941268,1.958756,1.284936,86425745
2004-03-24,1.937770,1.950012,1.915034,1.923779,1.261991,60518777
2004-03-25,1.929025,1.981492,1.929025,1.941268,1.273464,63387167
2004-03-26,1.944765,1.958756,1.916783,1.932523,1.267727,28959304
2004-03-29,1.927276,1.950012,1.923779,1.923779,1.261991,24802673
2004-03-30,null,null,null,null,null,null
2004-03-31,1.918532,1.923779,1.883554,1.899294,1.245929,36883106
2004-04-01,1.906290,1.944765,1.902792,1.943016,1.274611,40284361
2004-04-02,1.946514,1.969250,1.944765,1.948263,1.278053,42644932
2004-04-05,1.951761,1.984990,1.946514,1.958756,1.284936,45472800
2004-04-06,1.958756,1.972748,1.920281,1.950012,1.279200,55091277
2004-04-07,1.951761,1.958756,1.913285,1.915034,1.256255,57632335
2004-04-08,1.915034,1.916783,1.852074,1.853823,1.216100,161877645
2004-04-09,1.853823,1.871312,1.818845,1.834585,1.203480,83282832
2004-04-12,1.818845,1.848576,1.801356,1.838083,1.205775,34092822
2004-04-13,1.839832,1.853823,1.797859,1.801356,1.181682,49400485
2004-04-14,1.796110,1.811850,1.757634,1.773374,1.163326,49604700
2004-04-15,1.775123,1.799607,1.759383,1.764630,1.157590,35895417
2004-04-16,1.766378,1.806603,1.757634,1.801356,1.181682,35442810
2004-04-19,1.801356,1.803105,1.775123,1.782119,1.169063,25094001
2004-04-20,1.780370,1.832836,1.771625,1.797859,1.179388,36275344
2004-04-21,1.799607,1.827590,1.748890,1.757634,1.153001,52360523
2004-04-22,1.748890,1.785616,1.748890,1.759383,1.154148,55283102
2004-04-23,1.766378,1.766378,1.717410,1.724405,1.131203,69347765
2004-04-26,1.727903,1.750638,1.724405,1.748890,1.147265,21673243
2004-04-27,1.759383,1.782119,1.747141,1.759383,1.154148,26288901
2004-04-28,1.661445,1.747141,1.661445,1.722656,1.130056,47871841
2004-04-29,1.722656,1.759383,1.705167,1.710414,1.122025,58496351
2004-04-30,1.713912,1.741894,1.661445,1.682432,1.103669,72524128
2004-05-03,null,null,null,null,null,null
2004-05-04,null,null,null,null,null,null
2004-05-05,null,null,null,null,null,null
2004-05-06,null,null,null,null,null,null
2004-05-07,null,null,null,null,null,null
2004-05-10,1.682432,1.694674,1.643956,1.645705,1.079576,20676565
