Date,Open,High,Low,Close,Adj Close,Volume
2004-03-02,1.555555,1.575925,1.520370,1.527777,1.013047,75874044
2004-03-03,1.527777,1.540740,1.500000,1.501851,0.995856,47388882
2004-03-04,1.500000,1.516666,1.485185,1.511111,1.001996,51378791
2004-03-05,1.509259,1.525925,1.496296,1.514814,1.004452,36893696
2004-03-08,1.520370,1.522222,1.475925,1.477777,0.979893,45696031
2004-03-09,1.509259,1.533333,1.481481,1.500000,0.994629,90913784
2004-03-10,1.500000,1.520370,1.488888,1.516666,1.005680,58605611
2004-03-11,1.518518,1.557407,1.514814,1.551851,1.029010,106332010
2004-03-12,1.551851,1.555555,1.524074,1.553703,1.030238,55682883
2004-03-15,1.553703,1.585185,1.548148,1.574074,1.043746,130904283
2004-03-16,1.577777,1.588888,1.553703,1.572222,1.042518,70028636
2004-03-17,1.572222,1.583333,1.559259,1.574074,1.043746,65561329
2004-03-18,1.574074,1.574074,1.531481,1.537037,1.019187,66573964
2004-03-19,1.537037,1.557407,1.518518,1.553703,1.030238,49537013
2004-03-22,1.537037,1.588888,1.533333,1.564814,1.037606,78898255
2004-03-23,1.564814,1.583333,1.538888,1.570370,1.041290,69383881
2004-03-24,1.562962,1.622222,1.559259,1.622222,1.075672,199956708
2004-03-25,1.620370,1.633333,1.592592,1.611111,1.068305,73898757
2004-03-26,1.611111,1.657407,1.601851,1.646296,1.091635,77865062
2004-03-29,1.646296,1.683333,1.625925,1.637037,1.085496,101824106
2004-03-30,1.625925,1.640740,1.609259,1.624074,1.076900,48106796
2004-03-31,1.629629,1.675925,1.614814,1.635185,1.084268,69229501
2004-04-01,1.664814,1.664814,1.625925,1.650000,1.094092,38772750
2004-04-02,1.681481,1.796296,1.670370,1.731481,1.148120,238230995
2004-04-05,1.737037,1.768518,1.725925,1.755555,1.164083,119250063
2004-04-06,1.755555,1.764814,1.722222,1.757407,1.165311,69657440
2004-04-07,1.759259,1.762962,1.733333,1.750000,1.160400,50407687
2004-04-08,1.746296,1.746296,1.709259,1.712962,1.135841,63801469
2004-04-09,1.707407,1.712962,1.648148,1.655555,1.097775,100249347
2004-04-12,1.646296,1.690740,1.611111,1.668518,1.106370,97332996
2004-04-13,1.670370,1.670370,1.629629,1.633333,1.083040,49718637
2004-04-14,1.631481,1.638888,1.570370,1.590740,1.054797,76296324
2004-04-15,null,null,null,null,null,null
2004-04-16,1.587037,1.648148,1.562962,1.640740,1.087951,85998061
2004-04-19,1.631481,1.633333,1.575925,1.587037,1.052342,57255719
